2020-12-31T12:00:00.000+0000;1,60942E+12;0.006;47:86:38
2020-12-30T12:00:00.000+0000;1,60933E+12;0.002;47:86:38
2020-12-29T12:00:00.000+0000;1,60924E+12;0.022;47:86:38
2020-12-28T12:00:00.000+0000;1,60916E+12;0.039;47:86:38
2020-12-27T12:00:00.000+0000;1,60907E+12;0.051;47:86:38
2020-12-26T12:00:00.000+0000;1,60898E+12;0.061;47:86:38
2020-12-25T12:00:00.000+0000;1,6089E+12;0.068;47:86:38
2020-12-24T12:00:00.000+0000;1,60881E+12;0.071;47:86:38
2020-12-23T12:00:00.000+0000;1,60872E+12;0.075;47:86:38
2020-12-22T12:00:00.000+0000;1,60864E+12;0.075;47:86:38
2020-12-21T12:00:00.000+0000;1,60855E+12;0.066;47:86:38
2020-12-20T12:00:00.000+0000;1,60847E+12;0.167;47:86:38
2020-12-19T12:00:00.000+0000;1,60838E+12;0.243;47:86:38
2020-12-18T12:00:00.000+0000;1,60829E+12;0.296;47:86:38
2020-12-17T12:00:00.000+0000;1,60821E+12;0.328;47:86:38
2020-12-16T12:00:00.000+0000;1,60812E+12;0.341;47:86:38
2020-12-15T12:00:00.000+0000;1,60803E+12;0.355;47:86:38
2020-12-14T12:00:00.000+0000;1,60795E+12;0.336;47:86:38
2020-12-13T12:00:00.000+0000;1,60786E+12;0.3;47:86:38
2020-12-12T12:00:00.000+0000;1,60777E+12;0.252;47:86:38
2020-12-11T12:00:00.000+0000;1,60769E+12;0.197;47:86:38
2020-12-10T12:00:00.000+0000;1,6076E+12;0.141;47:86:38
2020-12-09T12:00:00.000+0000;1,60752E+12;0.113;47:86:38
2020-12-08T12:00:00.000+0000;1,60743E+12;0.06;47:86:38
2020-12-07T12:00:00.000+0000;1,60734E+12;0.155;47:86:38
2020-12-06T12:00:00.000+0000;1,60726E+12;0.693;47:86:38
2020-12-05T12:00:00.000+0000;1,60717E+12;1.031;47:86:38
2020-12-04T12:00:00.000+0000;1,60708E+12;1.417;47:86:38
2020-12-03T12:00:00.000+0000;1,607E+12;1.71;47:86:38
2020-12-02T12:00:00.000+0000;1,60691E+12;1.809;47:86:38
2020-12-01T12:00:00.000+0000;1,60682E+12;2.117;47:86:38
